title,creationDate,hasLyrics,hasWorktape,songwriters,publishers
Hey You,2/22/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti",Rainy Graham
Honestly,8/18/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
I Wanna Be Your Whiskey,4/4/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti",Rainy Graham
I Would Rather Have A Broken Heart,2/16/12,yes,yes,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy Publishing"
I Will Take It All,11/21/11,yes,yes,"Rick Ferrell, Megan Conner",Rainy Graham
In The Air,11/22/11,yes,yes,"Rick Ferrell, Jaida Dreyer","Rainy Graham, Red Vinyl, Guys Girl Music"
It is Always You,11/23/12,yes,no,"Rick Ferrell, Marti Lynn Dodsen",Rainy Graham
It is Summertime,11/24/11,yes,yes,"Rick Ferrell, Wade Kirby","Rainy Graham, Big Tractor"
It Is You,9/13/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Livin The Dream,5/7/12,yes,yes,"Rick Ferrell, Taylor Watson","Rainy Graham, "
Long Way Gone,10/22/12,yes,yes,"Rick  Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Love Is Like Wine,11/22/11,no,no,"Rick Ferrell, Freddy Litwiniuk","Rainy Graham, Dan Hodges Music"
Love Junky,7/6/11,yes,yes,"Rick Ferrell, Lee Anna James, Leah Turner",Rainy Graham
Love Like Clay,1/15/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti",Rainy Graham
Make You Look Good,2/16/12,yes,yes,"Rick Ferrell, Lee Anna McCollum, Leah Turner",Rainy Graham
No Place For A Broken Heart,11/21/11,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Kimberly Paige","Rainy Graham, Shapiro-Bernstein Music Publishing"
Out Of My Heart,8/30/12,yes,yes,"Rick Ferrell, Kimberly Paige","Rainy Graham, Gang 43 Music, Dead Aim Music"
Quit You,10/22/12,yes,yes,"Rick Ferrell, Ashley Gearing, Ryan Griffin",Rainy Graham
Real Close,6/15/12,no,no,"Rick Ferrell, Ashley Gearing, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
She Is Home,2/15/12,yes,yes,"Rick Ferrell, Michael Denney",Rainy Graham
The World Begins Again,1/24/12,yes,yes,"Josh Kelley, Marti Lynn Dodsen, Rick Ferrell","Rainy Graham, Shapiro-Bernstein Music Publishing"
Turn Me On,1/23/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Purple Cape Music, Park Bench Music"
Turpentine,2/15/12,no,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti",Rainy Graham
Used To Be,1/10/12,no,yes,Rick Ferrell,Rainy Graham
Way Of Life,1/25/12,yes,yes,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy Publishing"
Will Time Do Us Justice,,no,no,Rick Ferrell,Rainy Graham
Without You,,no,no,"Rick Ferrell, Jen Adan",Rainy Graham
Stop And Rewind,7/26/12,yes,yes,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
December Day,7/10/12,yes,yes,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
This Aint My First Rodeo,7/31/12,yes,yes,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
What Would Mama Think,7/12/12,yes,yes,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Boys Will Be Boys,8/28/12,yes,yes,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Dark Horse,8/10/12,yes,yes,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Daddy Has Got A .45,8/10/12,yes,yes,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
My Last One,8/10/12,yes,yes,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Against The Grain,7/12/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Middle Of Nowhere,10/29/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Half Of You,10/29/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Dreamland,10/29/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
By My Side,10/25/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Everything has Got Its  Time,9/19/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Keith Burns","Rainy Graham, Shapiro-Bernstein Music Publishing"
One Too Many,9/19/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Jason Charles Miller","Rainy Graham, Shapiro-Bernstein Music Publishing, Dan Hodges Music"
Who Put That Drunk in my Drink,6/21/12,yes,yes,"Rick Ferrell, Megan Conner, Jennifer Zuffinetti","Rainy Graham, Dan Hodges Music, Shapiro-Bernstein Music Publishing"
Rather Have a Broken Heart,2/16/12,yes,yes,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy Publishing"
Somewhere In Between,9/27/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Natalie Murphy","Rainy Graham, Shapiro-Bernstein Music Publishing, Natalie Murphy Publishing"
Scars,,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Country Kind,11/28/12,yes,yes,"Rick Ferrell, Megan Conner, Merrick Carpenter","Rainy Graham, Shapiro-Bernstein Music Publishing"
Blue Sky,12/13/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Kimberly Paige","Rainy Graham, Shapiro-Bernstein Music Publishing"
Try Again,11/6/12,yes,yes,"Rick Ferrell, Jennifer Zuffinetti, Megan Conner","Rainy Graham, Shapiro-Bernstein Music Publishing, Dan Hodges Music"
Magnets,12/10/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Kimberly Paige","Rainy Graham, Shapiro-Bernstein Music Publishing"
Half Of You,10/23/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Jagged Little Hole In My Heart,12/10/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen, Marty Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing, Dan Hodges Music"
I Dont Want To Know,11/10/12,yes,no,"Rick Ferrell, Natalie Murphy","Rainy Graham, Shapiro-Bernstein Music Publishing"
Dreamland,10/29/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
What Are We Fighting For,,no,yes,"Rick Ferrell, Marti Lynn Dodsen, Marty Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing, Dan Hodges Music"
Catch on Fire,,no,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Honestly,8/18/12,yes,yes,"Rick Ferrell, Marti Lynn Dodsen","Rainy Graham, Shapiro-Bernstein Music Publishing"
Anywhere South,3/21/13,yes,yes,"Abby Boykin, Larry Alderman","Rainy Graham, Anchor Down"
Backfire,5/3/13,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Best Of Hearts,3/13/13,yes,no,"Abby Boykin, Roland Price","Rainy Graham, Roland Price Publishing"
Best Of Me,3/30/12,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
BowChikaBowwow,11/7/12,yes,yes,"Abby Boykin, Chris James","Rainy Graham, Derek Publishing"
Broken String,3/30/12,yes,yes,"Abby Boykin, Derek Alldredge","Rainy Graham, Small Creek Publishing"
Crazy As You,,yes,yes,"Abby Boykin, Brian Milson",Rainy Graham
Dont Come Crying To Me,3/16/12,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Dont Wanna Wait Another Day,11/10/12,yes,no,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Every Day After That,3/13/13,yes,yes,"Abby Boykin, Larry Alderman","Rainy Graham, Anchor Down"
Forever And Ever My Love,6/20/12,yes,yes,"Abby Boykin, Wayne Baird","Rainy Graham, Anchor Down"
Girls In Cowboy Boots,2/18/12,yes,yes,"Abby Boykin, Cassie Means, Chris Yarber","Rainy Graham, Cassie Means Publishing, Fear Biter Music"
Girls That Drive Trucks,2/24/12,yes,yes,"Abby Boykin, Keith Burns, Trey Wilson","Rainy Graham, Southern Ground"
Grey,2/15/12,yes,yes,"Abby Boykin, Cassie Means, Chris Yarber","Rainy Graham, Fear Biter Music"
How many Times Can A Heart Break,10/5/12,yes,yes,"Abby Boykin, Brian Milson",Rainy Graham
I Cant Walk On Water,2/1/12,yes,yes,"Abby Boykin, Keith Burns",Rainy Graham
I Come Alive,6/19/14,yes,yes,"Abby Boykin, Leslie Powell","Rainy Graham, Small Creek Publishing"
Karma,5/11/12,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Like I Want To,4/20/13,yes,no,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Little Piece Of Heaven,,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Livin In Sin,6/26/13,yes,yes,"Abby Boykin, Keith Burns",Rainy Graham
Mama,,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Me Without You,1/7/12,yes,no,"Abby Boykin, Chris Yarber","Rainy Graham, Fear Biter Music"
Miss Mississippi,2/23/12,yes,yes,"Abby Boykin, Cassie Means, Chris Yarber","Rainy Graham, Cassie Means Publishing, Fear Biter Music"
Miss Someone,3/1/12,yes,yes,"Abby Boykin, Joe Doyle, Jon Henderson","Rainy Graham, Dan Hodges Music, Merf Music Publishing"
My Heart Beats You,2/16/12,yes,yes,"Abby Boykin, Rachel Thibodeau, Jason Sever","Rainy Graham, Little Champion Music"
Nothin Left To Lose,3/21/12,yes,yes,"Abby Boykin, Kristen Pettinger","Rainy Graham, Notes Publishing"
Once In A Lifetime Kind Of Thing,9/27/12,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
One Mile At A Time,4/27/12,yes,yes,"Abby Boykin, Freddy Litwiniuk","Rainy Graham, Big Tractor"
Only From The Truth,4/6/12,yes,yes,"Abby Boykin, Wayne Baird","Rainy Graham, Anchor Down"
Some Kinda Bad,2/18/12,yes,yes,"Abby Boykin, Keith Burns",Rainy Graham
Strong Enough To Break,,no,yes,"Abby Boykin, Cassie Means","Rainy Graham, Cassie Means Publishing"
Talk My Heart Out Of Lovin You,6/29/12,yes,no,"Abby Boykin, Erik Kertes","Rainy Graham, Dan Hodges Music"
The Devils Water,1/18/12,yes,yes,"Abby Boykin, Alex Hall ","Rainy Graham, Alex Hall Publishing"
This I Pray,3/8/13,yes,no,"Abby Boykin, Roland Price","Rainy Graham, Roland Price Publishing"
This Right Here,3/22/12,yes,yes,"Abby Boykin, Keith Burns",Rainy Graham
Together,4/7/12,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
Trigger,9/27/12,yes,yes,"Abby Boykin, Chris James","Rainy Graham, Derek Publishing"
We Found Us,3/29/12,yes,yes,"Abby Boykin, Chris Yarber","Rainy Graham, Fear Biter Music"
We Will Take Our Chances,4/3/12,yes,yes,"Abby Boykin, Fred Stallcup, Thomas Hewlett, Billy Joe Walker","Rainy Graham, Anchor Down"
Without You Here,1/7/12,yes,no,"Abby Boykin, Chris Yarber","Rainy Graham, Fear Biter Music"
When The Whiskey Hits Me,3/6/12,yes,yes,"Abby Boykin, Keith Burns",Rainy Graham
You Got That Something,,yes,yes,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
You Used To Look At Me That Way,11/3/12,yes,no,"Abby Boykin, Sam Hawksley","Rainy Graham, Sony ATV"
You Wake Me,2/17/12,yes,yes,"Abby Boykin, Roland Price","Rainy Graham, Roland Price Publishing"
Your Turn To Cry,1/26/12,yes,yes,"Abby Boykin, Keith Burns","Rainy Graham, Rainy Graham"
