Make You Look Good,Rick Ferrell / Lee Anna McCollum / Leah Turner,Rainy Graham,0.3334,yes,yes,2/16/12
No Place For A Broken Heart,"Rick Ferrell, Marti Dodesn, Kimberly","Rainy Graham, Shapiro-Bernstein Music Publishing",0.3334,yes,yes,11/21/11
Out Of My Heart,"Rick Ferrell, Kimberly Paige Sullivan","Rainy Graham, Gang 43 Music/ Dead Aim Music (BMI)",0.5,yes,yes,8/30/12
Quit You,"Rick Ferrill, Ashley Gearing, Ryan Griffin",Rainy Graham,0.3334,yes,yes,10/22/12
Real Close,"Rick Ferrell, Ashley Gearing, Marti Lynn Dodson","Rainy Graham,,Shapiro-Bernstein Music Publishing",0.3334,no,no,6/15/12
She's Home,"Rick Ferrell, Michael Denney",Rainy Graham,0.5,yes,yes,2/15/12
The World Begins Again,"Josh Kelley, Marti Lynn Dodson, Rick Ferrell","Rainy Graham, Shapiro-Bernstein Music Publishing",0.3334,yes,yes,1/24/12
Turn Me On,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Purple Cape Music, Park Bench Music",0.5,yes,yes,1/23/12
Turpentine,"Rick Ferrell, Megan Conner,Jennifer Zuffinetti",Rainy Graham,0.3334,no,yes,2/15/12
Used To Be,Rick Ferrell,Rainy Graham,1,no,yes,1/10/12
Way Of Life,"Rick Ferrell, Natalie Murphy","Rainy Graham, Natalie Murphy(BMI)",0.5,yes,yes,1/25/12
Will Time Do Us Justice,"Rick Ferrell, ???",Rainy Graham,0.5,no,no,
Without You,"Rick Ferrell, Jen Adan",Rainy Graham,0.5,no,no,
Stop And Rewind,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing, ",0.45,yes,yes,7/26/12
December Day,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham,Dan Hodges Music/Shapiro-Bernstein Music Publishing, ",0.45,yes,yes,7/10/12
This Ain't My First Rodeo,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing, ",0.45,yes,yes,7/31/12
What Would Mama Think,"Rick Ferrell, Megan Conner, Ashley Price","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing, ",0.45,yes,yes,7/12/12
Boys Will Be Boys,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing, ?",0.45,yes,yes,8/28/12
Dark Horse,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing",0.45,yes,yes,8/10/12
Daddy's Got A .45,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing",0.45,yes,yes,8/10/12
My Last One,"Rick Ferrell, Megan Conner, Kaylee Rutland","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing",0.45,yes,yes,8/10/12
Against The Grain,"Rick Ferrell, Megan Conner, Jennifer Zufinetti","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing",0.45,yes,yes,7/12/12
Middle Of Nowhere,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/29/12
Half Of You,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/29/12
Dreamland,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/29/12
By My Side,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,10/25/12
Everything's Got Its  Time,"Rick Ferrell, Marti Lynn Dodson, Keith Burns","Rainy Graham, Shapiro-Bernstein Music Publishing, Rainy Graham",0.3334,yes,yes,9/19/12
One Too Many,"Rick Ferrell, Marti Lynn Dodson, Jason Charles Miller","Rainy Graham, Shapiro-Bernstein Music Publishing, Dan Hodges",0.3334,yes,yes,9/19/12
Who Put That Drunk in my Drink,"Rick Ferrell, Megan Conner, Jennifer Zufinetti","Rainy Graham, Dan Hodges Music/Shapiro-Bernstein Music Publishing",0.3334,yes,yes,6/21/12
Rather Have a Broken Heart,"Rick Ferrell, Natalie Murphy","Rainy Grahan, Natalie Murphy (BMI)",0.5,yes,yes,2/16/12
Somewhere In Between,"Rick Ferrell, Marti Lynn Dodson, Natalie Murphy","Rainy Graham, Shapiro-Bernstein Music Publishing, BMI",0.3334,yes,yes,9/27/12
Scars,"Rick Ferrell, Marti Lynn Dodson","Rainy Graham, Shapiro-Bernstein Music Publishing",0.5,yes,yes,
Country Kind,"RickFerrell(45%), Megan Conner(45%), Merrick Carpenter(10%) ",,0.45,yes,yes,11/28/12,
Blue Sky,"Rick Ferrell, Marti Lynn Dodesn, Kim Paige",,0.3334,yes,yes,12/13/12,
Try Again,"Rick Ferrel Jennifer Zuffinetti, Megan Conner",,0.3334,yes,yes,11/6/12,
Magnets,"Rick Ferrell, Marti Lynn Dodsen, Kim Paige",,0.3334,yes,yes,12/10/12,
Half Of You,"Rick Ferrell, Marti Lynn Dodsen",,0.3334,yes,yes,10/23/12,
Jagged Little Hole In My Heart,"Rick Ferrell, MLD, Marty Dodson",,0.3334,yes,yes,12/10/12,Demo
I Don’t Want To Know,"Rick Ferrell, Natalie Murphy",,0.5,yes,no,11/10/12,
Dreamland,"Rick Ferrell, MLD",,0.5,yes,yes,10/29/12,
What Are We Fighting For,"Rick Ferrell, MLD, Marty Dodson",,0.3334,no,yes,,
Catch on Fire,"Rick Ferrell, MLD",,0.5,no,yes,,
Honestly,"Rick Ferrell, MLD",,0.5,yes,yes,8/18/12,Demo
